768 92.3217 457081101 738186 78.7486 57366787 295931
784 94.6456 547617400 769232 88.4107 61050013 308347
800 105.588 547731300 800918 93.6962 64825980 321027
816 108.877 617508562 833244 99.1285 68798573 333963
832 119.317 596291110 866210 104.465 72872578 347155
848 123.271 693170580 899816 111.299 77176677 360603
864 129.418 690046968 934062 117.249 81584482 374307
880 137.455 774789712 968948 124.413 86208648 388267
896 145.352 732147475 1004474 128.787 90929949 402483
912 152.445 862576098 1040640 136.597 95919163 416955
928 158.093 855060585 1077446 147.663 101007774 431683
944 169.864 956750882 1114892 151.924 106332793 446667
960 177.574 916002803 1152978 155.078 111764222 461907
976 179.679 1057539267 1191704 163.879 117474242 477403
992 187.83 1044509806 1231070 172.199 123292360 493155
1008 195.981 1165164054 1271080 181.198 129367847 509163
1024 298.778 1078632475 1311726 177.076 135535653 525602
