2000 14375732 1128247 10559889 1128247
2064 15285984 1199531 11221587 1199531
2128 16291307 1272580 11970596 1272580
2192 17276765 1348111 12691767 1348111
2256 18255644 1426065 13398680 1426065
2320 19270642 1515225 14133694 1515225
2384 20421592 1606868 15001178 1606868
2448 2.15293e+07 1.69154e+06 15813381 1691537
2512 22665116 1778405 16645932 1778405
2576 23804704 1867708 17474353 1867708
2640 25055387 1958614 18406123 1958614
2704 26274046 2052048 19297874 2052048
2768 2.74781e+07 2.148e+06 20167418 2148002
2832 2.87203e+07 2.25711e+06 21066941 2257115
2896 30121746 2368643 22123252 2368644
2960 31464097 2471286 2.31075e+07 2.47129e+06
3024 32834246 2576130 24111762 2576131
