768 57.712720 457081133 738165 44.270176 57366819 295906
784 56.836186 547608344 769211 46.851951 61050074 308322
800 62.110615 547729669 800897 49.956576 64826012 321002
816 64.412788 617494637 833223 53.005581 68798603 333938
832 71.828840 596288863 866189 56.074598 72872610 347130
848 72.407463 693170193 899795 59.302314 77176708 360578
864 78.737028 690029075 934041 63.050147 81584510 374282
880 81.821017 774789752 968927 66.359215 86208680 388242
896 91.623149 732146785 1004453 70.595017 90929983 402458
912 91.126495 862576250 1040619 73.842790 95919195 416930
928 97.921977 855060879 1077425 77.896516 101007806 431658
944 101.450527 956750770 1114871 81.918556 106332825 446642
960 111.084431 916002615 1152957 86.618957 111764254 461882
976 112.082333 1057539328 1191683 90.511748 117474274 477378
992 120.306871 1044518509 1231049 94.970627 123292402 493130
1008 122.385815 1165175295 1271055 99.650491 129367881 509138
1024 191.683539 1078632507 1311701 105.490370 135535687 525577
