256 2.85749 16939004 82633 2.77794 2182363 33522
272 3.52992 20941807 93199 3.44832 2609273 37754
288 4.4521 25494199 104405 4.18022 3095439 42242
304 5.3524 31556081 116251 4.55524 3635960 46986
320 6.39272 33925894 128737 5.25262 4228860 51986
336 6.93688 42669821 141863 6.66263 4892811 57242
352 8.17775 46572032 155629 7.07292 5613914 62754
368 9.14307 56136437 170035 8.99047 6410382 68522
384 10.7431 57648918 185082 9.87143 7266702 74546
400 10.9295 72173349 200768 10.5763 8213277 80827
416 13.4948 76906553 217094 12.7702 9224306 87363
432 14.3138 91006024 234060 13.2467 10326080 94155
448 16.6419 93089010 251666 15.6799 11497079 101203
464 18.4878 112858483 269912 17.5452 12773420 108507
480 20.3907 118179502 288798 19.6502 14123147 116067
496 22.9045 137953863 308324 21.5187 15579757 123883
512 26.8651 134851316 328490 21.5525 17108868 131955
